,Location,Lat,Long
0,"Chicago, Illinois, USA",41.8755616,-87.6244212
1,"Stockholm, Sweden",59.3251172,18.0710935
2,"Rochester, New York, USA",43.157285,-77.615214
3,"Rio de Janeiro, Rio de Janeiro, Brazil",-22.9110137,-43.2093727
4,"Ottawa, Ontario, Canada",45.421106,-75.690308
5,"Sunrise, Florida, USA",26.1666888,-80.2787573
6,"Saint Petersburg, Saint Petersburg, Russia",59.938732,30.316229
7,"Atlanta, Georgia, USA",33.7489924,-84.3902644
8,"Philadelphia, Pennsylvania, USA",39.9527237,-75.1635262
9,"Nashville, Tennessee, USA",36.1622296,-86.7743531
10,"London, England, United Kingdom",51.5073219,-0.1276474
11,"Wichita, Kansas, USA",37.6922361,-97.3375448
12,"Las Vegas, Nevada, USA",36.1672559,-115.1485163
13,"Prague, Czech Republic",50.0874654,14.4212535
14,"Phoenix, Arizona, USA",33.4484367,-112.0741417
15,"Melbourne, Victoria, Australia",-37.8142176,144.9631608
16,"Fortaleza, Ceara, Brazil",-3.7304512,-38.5217989
17,"Brooklyn, New York, USA",40.6501038,-73.9495823
18,"Los Angeles, California, USA",34.0536909,-118.242766
19,"Milwaukee, Wisconsin, USA",43.0349931,-87.922497
20,"Toronto, Ontario, Canada",43.6534817,-79.3839347
21,"Adelaide, South Australia, Australia",-34.9281805,138.5999312
22,"Beijing, China",39.9020803,116.7185213
23,"Buenos Aires, Buenos Aires, Argentina",-34.6075682,-58.4370894
24,"Denver, Colorado, USA",39.7392364,-104.9848623
25,"New York City, New York, USA",40.7127281,-74.0060152
26,"Moncton, New Brunswick, Canada",46.097995,-64.80011
27,"Sao Paulo, Sao Paulo, Brazil",-23.5506507,-46.6333824
28,"Moscow, Moscow, Russia",55.7504461,37.6174943
29,"Dallas, Texas, USA",32.7762719,-96.7968559
30,"Lincoln, Nebraska, USA",40.8088861,-96.7077751
31,"Calgary, Alberta, Canada",51.0534234,-114.0625892
32,"Hamburg, Hamburg, Germany",53.550341,10.000654
33,"Boise, Idaho, USA",43.6166163,-116.200886
34,"Kallang, Singapore",1.310759,103.866262
35,"Utica, New York, USA",43.1009031,-75.2326641
36,"Liverpool, England, United Kingdom",53.407154,-2.991665
37,"Santiago, Chile",-33.4377756,-70.6504502
38,"Atlantic City, New Jersey, USA",39.3642852,-74.4229351
